"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11150","355.2","355.2","355.2","355.2","355.2","355.2","1","8.63",".27","750","-75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11200","416.75","508.95","382.6","502.65","500","502.65","1845","16133.11","635.11","626325","-24600","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11250","541.8","541.8","541.8","541.8","541.8","541.8","1","8.84",".41","150","-75","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11300","501.35","594.75","460","588.45","585.15","588.45","200","1775.25","80.25","219525","-5325","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11350","0","0","0","466.95","466.95","648.7","0","0","0","75","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11400","585","685","553.95","677.4","677.85","677.4","75","676.3","35.05","83325","-1050","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11450","0","0","0","1228.15","0","738.15","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11500","680","787.8","640","778.8","776.6","778.8","369","3386.31","203.68","766725","-6150","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11550","0","0","0","643.35","643.35","830.4","0","0","0","75","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11600","785","874.9","737.35","870.75","874","870.75","550","5125.4","340.4","45225","4575","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11650","0","0","0","1310.65","0","924.8","0","0","0","0","0","10672.25"
"NIFTY","03-Jan-2019","31-Jan-2019","PE","11700","895","969.85","834.15","963.85","963.85","963.85","21","198.41","14.14","25875","0","10672.25"
"NIFTY","04-Jan-2019","31-Jan-2019","PE","11750","0","0","0","1392.9","0","968.5","0","0","0","0","0","10727.35"
"NIFTY","04-Jan-2019","31-Jan-2019","PE","11800","1026.7","1080","1008","1025","1025","1025","9","86.7","7.05","6750","0","10727.35"
"NIFTY","04-Jan-2019","31-Jan-2019","PE","11850","0","0","0","1368.1","0","1065.5","0","0","0","0","0","10727.35"
